Line Group.1 Group.2 x weekmax weekmin e abnm
554 24 2010 2545714.28571429 2580000 2520000 NA -0.471569630334933
555 25 2010 2468571.42857143 2510000 2420000 NA -0.147205055696719
556 26 2010 2391428.57142857 2420000 2340000 NA 0.303395983384568
557 27 2010 2215714.28571429 2300000 2140000 NA 0.211689475305533
558 28 2010 2070000 2120000 2030000 NA 0.257395390865485
559 29 2010 1981428.57142857 2010000 1950000 NA 0.468846265817537
560 30 2010 1862857.14285714 1930000 1790000 NA 0.34414118507683
561 31 2010 1715714.28571429 1770000 1630000 NA 0.0348502021328107
562 32 2010 1557142.85714286 1600000 1520000 NA -0.271170271864776
563 33 2010 1475714.28571429 1510000 1460000 NA -0.29085720742865
564 34 2010 1477142.85714286 1480000 1470000 NA 0.0554257865357816
565 35 2010 1468571.42857143 1470000 1460000 NA 0.32381228932569
566 36 2010 1441428.57142857 1460000 1430000 NA 0.425625956120482
567 37 2010 1494285.71428571 1510000 1480000 NA 0.977853992500139
568 38 2010 1457142.85714286 1470000 1450000 NA 0.87352250508575
569 39 2010 1440000 1450000 1430000 NA 0.726037811020016
570 40 2010 1522857.14285714 1620000 1440000 NA 0.769398397003247
571 41 2010 1760000 1870000 1650000 NA 0.929759904523057
572 42 2010 2018571.42857143 2120000 1910000 NA 0.980154599247773
573 43 2010 2257142.85714286 2350000 2160000 NA 0.996575853435114
574 44 2010 2455714.28571429 2500000 2380000 NA 1.05446987608834
575 45 2010 2471428.57142857 2510000 2410000 NA 1.11287661403518
576 46 2010 2347142.85714286 2400000 2310000 NA 0.567614577398634
577 47 2010 2318571.42857143 2340000 2310000 NA 0.224975099285189
578 48 2010 2354285.71428571 2400000 2340000 NA 0.0688916812944352
579 49 2010 2464285.71428571 2490000 2420000 NA 0.116842271553297
580 50 2010 2535714.28571429 2550000 2510000 NA -0.128501206401474
581 51 2010 2605714.28571429 2660000 2570000 NA -0.513965907323507
582 52 2010 2711428.57142857 2740000 2680000 NA -0.91848120282445
583 53 2010 2750000 2750000 2750000 NA -1.01140776248811
584 1 2011 2766666.66666667 2790000 2750000 NA -1.10536955532981
585 2 2011 2830000 2860000 2800000 NA -1.45468701131338
586 3 2011 2928571.42857143 2980000 2880000 NA -1.37649814015732
587 4 2011 3051428.57142857 3110000 3e+06 NA -1.33353453019988
588 5 2011 3474285.71428571 3910000 3140000 NA -0.714000892071099
589 6 2011 4570000 5020000 4090000 NA 1.49473906812395
590 7 2011 5241428.57142857 5340000 5150000 NA 2.68654831156425
591 8 2011 5025714.28571429 5110000 4950000 NA 2.02416027933149
592 9 2011 4767142.85714286 4920000 4570000 NA 1.09272154085648
593 10 2011 4320000 4490000 4180000 NA 0.251261582920417
594 11 2011 4011428.57142857 4130000 3900000 NA -0.313082579739157
595 12 2011 3770000 3860000 3690000 NA -0.657157703726425
596 13 2011 3584285.71428571 3650000 3560000 NA -0.905688567963973
597 14 2011 3618571.42857143 3640000 3580000 NA -0.695755054551087
598 15 2011 3621428.57142857 3630000 3610000 NA -0.476250836173675
599 16 2011 3608571.42857143 3610000 3600000 NA -0.237025843349144
600 17 2011 3592857.14285714 3620000 3550000 NA -0.0305809846152764
601 18 2011 3375714.28571429 3540000 3180000 NA -0.142265083276682
602 19 2011 2987142.85714286 3120000 2870000 NA -0.650005096031319
603 20 2011 2752857.14285714 2840000 2680000 NA -0.964181932615672
604 21 2011 2592857.14285714 2650000 2540000 NA -1.09846967657142
605 22 2011 2490000 2520000 2460000 NA -1.10880628294991
606 23 2011 2548571.42857143 2570000 2520000 NA -0.827244486385877
607 24 2011 2567142.85714286 2600000 2550000 NA -0.397018944820111
608 25 2011 2675714.28571429 2690000 2640000 NA 0.731391705301859
609 26 2011 2724285.71428571 2750000 2700000 NA 1.73746697406032
610 27 2011 2652857.14285714 2690000 2590000 NA 2.08768376923974
611 28 2011 2450000 2570000 2320000 NA 2.08749280830845
612 29 2011 2231428.57142857 2290000 2190000 NA 1.79471854795363
613 30 2011 2127142.85714286 2180000 2080000 NA 1.8536586565784
614 31 2011 2021428.57142857 2060000 1970000 NA 1.82055492550134
615 32 2011 1904285.71428571 1940000 1880000 NA 1.87481515547888
